PlexID	ReporterName	ReporterAlias	MeasurementName
Plex_01	126	163	163
Plex_01	127N	20	20
Plex_01	127C	39	39
Plex_01	128N	216	216
Plex_01	128C	31	31
Plex_01	129N	73	73
Plex_01	129C	162	162
Plex_01	130N	05	05
Plex_01	130C	150	150
Plex_01	131N	72	72
Plex_01	131C	Ref	NA
Plex_02	126	185	185
Plex_02	127N	135	135
Plex_02	127C	206	206
Plex_02	128N	82	82
Plex_02	128C	55	55
Plex_02	129N	28	28
Plex_02	129C	57	57
Plex_02	130N	222	222
Plex_02	130C	83	83
Plex_02	131N	10	10
Plex_02	131C	Ref	NA
Plex_03	126	68	68
Plex_03	127N	100	100
Plex_03	127C	161	161
Plex_03	128N	193	193
Plex_03	128C	44	44
Plex_03	129N	45	45
Plex_03	129C	102	102
Plex_03	130N	49	49
Plex_03	130C	06	06
Plex_03	131N	179	179
Plex_03	131C	Ref	NA
Plex_04	126	81	81
Plex_04	127N	183	183
Plex_04	127C	194	194
Plex_04	128N	214	214
Plex_04	128C	111	111
Plex_04	129N	136	136
Plex_04	129C	125	125
Plex_04	130N	85	85
Plex_04	130C	64	64
Plex_04	131N	166	166
Plex_04	131C	Ref	NA
Plex_05	126	04	04
Plex_05	127N	144	144
Plex_05	127C	204	204
Plex_05	128N	97	97
Plex_05	128C	127	127
Plex_05	129N	13	13
Plex_05	129C	158	158
Plex_05	130N	151	151
Plex_05	130C	149	149
Plex_05	131N	19	19
Plex_05	131C	Ref	NA
Plex_06	126	51	51
Plex_06	127N	197	197
Plex_06	127C	172	172
Plex_06	128N	34	34
Plex_06	128C	18	18
Plex_06	129N	106	106
Plex_06	129C	01	01
Plex_06	130N	80	80
Plex_06	130C	195	195
Plex_06	131N	153	153
Plex_06	131C	Ref	NA
Plex_07	126	209	209
Plex_07	127N	61	61
Plex_07	127C	175	175
Plex_07	128N	131	131
Plex_07	128C	191	191
Plex_07	129N	208	208
Plex_07	129C	32	32
Plex_07	130N	146	146
Plex_07	130C	16	16
Plex_07	131N	93	93
Plex_07	131C	Ref	NA
Plex_08	126	14	14
Plex_08	127N	180	180
Plex_08	127C	98	98
Plex_08	128N	79	79
Plex_08	128C	38	38
Plex_08	129N	176	176
Plex_08	129C	219	219
Plex_08	130N	96	96
Plex_08	130C	03	03
Plex_08	131N	30	30
Plex_08	131C	Ref	NA
Plex_09	126	113	113
Plex_09	127N	121	121
Plex_09	127C	120	120
Plex_09	128N	192	192
Plex_09	128C	177	177
Plex_09	129N	08	08
Plex_09	129C	154	154
Plex_09	130N	124	124
Plex_09	130C	165	165
Plex_09	131N	25	25
Plex_09	131C	Ref	NA
Plex_10	126	215	215
Plex_10	127N	123	123
Plex_10	127C	182	182
Plex_10	128N	181	181
Plex_10	128C	196	196
Plex_10	129N	133	133
Plex_10	129C	156	156
Plex_10	130N	155	155
Plex_10	130C	141	141
Plex_10	131N	12	12
Plex_10	131C	Ref	NA
Plex_11	126	157	157
Plex_11	127N	114	114
Plex_11	127C	109	109
Plex_11	128N	211	211
Plex_11	128C	221	221
Plex_11	129N	74	74
Plex_11	129C	140	140
Plex_11	130N	132	132
Plex_11	130C	75	75
Plex_11	131N	152	152
Plex_11	131C	Ref	NA
